low blood pressure and hypotension question	hi at night when i fall asleep suddenly i am woken to a racing heart and my brain feels weird my blood pressure tends to be around 105/90 that is after standing up and walking to nurses station i am wandering if my bp is going to low at nightnot helped by the fact that i struggle with panic disorderso symptoms are alike i am just feeling like something other than panic is going on not on any medication other than hardys daily essential nutrients thank you
low blood pressure and hypotension question	i have low blood pressure and a high heart rate im 161cm tall and average at 45kg i eat twice as much as everyone i know i'm always feeling cold but i radiate so much body heat that my partner can't sleep close to me i can't find anything on the internet about this my dr checked my thyroid and said it's fine
low blood pressure and hypotension question	i am a 36 yo female i am 52 135 lbs i dont smoke or drink over the past 4 years i have been have bouts with dizziness and confusion i can't stand up for more than a couple of minutes with out getting dizzy if i bend down i have the same feeling i get disoriented and feel faint i have had bouts of vertigo that last week's sometimes sitting at work i will get dizzy and confused i have to get up and move around i walk fast to try to avoid feeling too dizzy to make it my doctor (3rd dr in 2 yrs) checked my thyroid and its normal so he says it's depression and referred me to psych i am not depressed about any thing except feeling disabled i was reviewing all medical records i found my blood pressure is always around 110/70 the variances are like 108/70 and 110/62 i have numbness in my left leg my doctor sent me to physical therapy i didn't injure myself it just went numb i now spend most of my time in bed i cant even make it through a grocery store what is this
low blood pressure	is there such a thing as blood pressure that is too low my blood pressure is consistently around 98/65 it seems like that would be good if i were athletic and ate a healthy diet but i'm about 100 lbs overweight don't diet and exercise very little does anyone know if it is normal to have low blood pressure and an unhealthy lifestyle
low blood pressure after i eat meat	i`m 35 year old male 180 cm high 87 kg since 2015 i experienced low blood pressure after lunch if i eat meat meat like chicken pork beef even fish so i think it is somethink assosiated with protein syntesis after meal with meat i feel very bad i mean my back side of the head is with pain like someone hitted me with wood espessially right side of the back side after i changed my diet now i have no problem with the pressure but i dont eat meat no problems with diary foods
treating orthostatic hypotension	my mother entered the hospital 39 days ago due to bleeding from her intestinal tract after tests they determined it was a case of diverticulitis while she was there she became orthostatic hypotensive where the blood pressure dropped significantly that she passes out she has had dizzy spells in the past but not to this degree about 3 years ago she was diagnosed by a neuro surgeon that she had stenosis and it was recommend that she remove the bulging disk from her neck but she decided not to getting back to oh doctors have tired most all the standard techniques and medication combination to treat this but with no success she finally had surgery last week on the neck with hopes that the nerves being compressed may alleviate the blood pressure control but so far that did not help cardiologist suggest we try a pacemaker to help control the beats per minute of her heart to increase flow another cardiologist suggested this won't work and preferred we try mestinon and midodrine they installed the pacemaker and the next day they tried to get her up and the blood pressure still dropped the doctor instructed the nurse to administer the mestinon and midodrine in the morning before trying to get her up heart maybe pump more blood but it's still going down to the lower extremities anyone have any inputs of where to go from here is this it and she is bed ridden for the rest of her life which they suggest may be limited due to the fact she is bed ridden or wheel chair ridden
ways to stop syncope epidsode	does anyone know of ways to stop the loss of consciousness and prevent a syncope episode i know about staying hydrated applied tension and avoiding triggers i'm asking if there is anything more certain or absolute other than lying down like an epipen for fainting i would think that you would need something to compensate the sudden drop in blood pressure the first thing that comes to my mind is some kind a lower body compression something like a fighter pilot g suit the other thing i thought of was the ammonia tablets that are inhaled to "wake" people back up i don't know much about these though or if they really do anything to stop syncope i don't know how that would do anything for blood pressure thanks for the help
syncope : bodily movement and open eyes	i have suffered from fainting spells most of my life that have all been triggered by pain not all types of pain but specific mostly sharper pain recently i accidentally cut the tip of my index finger and it started bleeding profusely and my first instinct was to lie down to prevent falling and injuring myself in case i did faint immediately i lied on the floor for about a minute and felt better and then got back up which was a mistake because my body did not fully recover i sat on a couch and my head and ears got very hot and then feeling overwhelmed i closed my eyes i could not shake it off what seemed like hours but was really about 2 minutes i woke up again very slowly trying to piece back together where i was first my hearing comes back and i ask myself 'where am i' once i hear familiar things i cry because of the confused feeling of being 'gone' or having 'left' without knowing my brain completely reboots during the episode i felt like i was searching for something and i try to make sense of things while in the 'dream' i find myself in unspecific 'alternate realities' where i find some security even though i'm still searching my husband has witnessed me fainting twice and both times i have moved waving my arms and legs around with my eyes open and empty expression even though my eyes are closed when i faint my husband says they snap back open with a 'zombie-like' expression that scares him in my dreams i cannot see even though my eyes are open i cannot see anything specific though i feel like i've been to a thousand different places i wonder if it could have been a seizure he tells me that i don't move very jerky or fast and i have not had any muscle pain from over exertion like if i had a seizure and my eyes do not roll back into my head i wonder why this happens i am not afraid of the sight of blood that does not make me faint from my experience i have drunken cold water and sometimes it prevents it altogether it's almost like i faint so severely that my brain goes dead for a second i have had an mri or cat scan (i cant remember which) when i was younger that came back normal maybe my body has a low pain threshold things like needles knee scrapes and stubbing my toe have not made me faint either also the pain that i actually feel is not that immense when i cut my finger i was not screaming or in a lot of actual pain my body overreacts next time i'll stay lying down for at least 15 minutes to attempt to prevent it what really concerns me is the movement and open eyes why does this happen
symptoms of low blood pressure	hi there in my family there is a heredity of low blood pressure thats why i'm translating these symptoms as low blood pressure i feel dizziness or lightheadedness have a blurred vision and nausea i'm thirsty all the time tired am i overreacting or i'm having low blood pressure 
low blood pressure and weight gain	i have been on blood pressure medicine for years i've been on many diets and it's hard to loose weight no matter what i try my sister had me use her watch that checks your pulse rate my pulse was between 63 and 65 (i tried it more than once) that was my resting pulse rate she thought that was pretty low we checked my dad's and his was around 75 i'm 49 i go to the gym 3 times a week my dad is 79 and has arthritis and doesn't walk much no matter what diet i try i can't loose weight i thought after 7 months at the gym i would be loosing weight after seeing my pulse i remembered about the blood pressure medicine i'm on i take 50 miliigrams of atenolol and 20 milligrams of enalapril every day atenolol i remember reading is a beta blocker and it slows your heart rate down is it possible the atenolol is why my heart rate is so low and actually keeping me from loosing weight
